rank,name,type,lobbying on filings mentioning a tracked fear,fears mentioned
1,Americans for Responsible Innovation,Advocacy group,1750000,bioweapons; china-race; power-bills
2,ControlAI,Advocacy group,230000,loss-of-control
3,Encode,Advocacy group,230000,kids-chatbots
4,Center for AI Safety,Advocacy group,180000,china-race
5,Common Sense Media,Advocacy group,22000,kids-chatbots
6,The Alliance for Secure AI,Advocacy group,20000,china-race; job-loss; kids-chatbots; loss-of-control; power-bills
1,Microsoft,AI company,8732500,ai-cyberattacks; deepfakes; job-loss; kids-chatbots; power-bills
2,Meta,AI company,20665000,ai-cyberattacks; bias; deepfakes; kids-chatbots; loss-of-control; power-bills
3,Samsung,Chipmaker,5240000,ai-cyberattacks; china-race; job-loss
4,Oracle,AI company,7040000,ai-cyberattacks; china-race; job-loss; kids-chatbots; power-bills
5,Edison Electric Institute,Trade group,6969357,ai-cyberattacks; job-loss; power-bills
6,Information Technology Industry Council,Trade group,2510000,ai-cyberattacks; china-race; job-loss; power-bills
7,Crowdstrike,Lobbying client,1720000,ai-cyberattacks
8,Google,AI company,10040000,ai-cyberattacks; bias; china-race; deepfakes; kids-chatbots; loss-of-control; power-bills
9,Dell Technologies,Lobbying client,5070000,ai-cyberattacks; kids-chatbots
10,Anthropic,AI company,4730000,ai-cyberattacks; china-race; job-loss; kids-chatbots; power-bills
11,Accenture,Lobbying client,2110000,ai-cyberattacks; job-loss; power-bills
12,Coreweave,Lobbying client,1060000,china-race; power-bills
13,Business Roundtable,Trade group,24690000,ai-cyberattacks; job-loss
14,Salesforce,AI company,3880000,ai-cyberattacks; china-race; job-loss; loss-of-control
15,BSA | The Software Alliance,Trade group,1420000,ai-cyberattacks; china-race; kids-chatbots; power-bills
16,Healthcare Leadership Council,Lobbying client,674000,ai-cyberattacks; china-race; job-loss
17,Pinterest,Lobbying client,530000,deepfakes; kids-chatbots
18,Sap America,Lobbying client,460000,ai-cyberattacks
19,Amazon,AI company,13480000,ai-cyberattacks; power-bills
20,AT&T,Telecom,8860000,ai-cyberattacks; china-race; deepfakes; kids-chatbots
21,T-mobile USA,Lobbying client,8054000,ai-cyberattacks; china-race
22,American Association for Justice,Trade group,5360000,bias; deepfakes; kids-chatbots
23,Entergy Services,Lobbying client,2230000,ai-cyberattacks; power-bills
24,Palo Alto Networks,Lobbying client,2210000,ai-cyberattacks
25,Adobe,AI company,1540000,ai-cyberattacks; deepfakes
26,Science Applications International,Lobbying client,1540000,ai-cyberattacks
27,Broadcom,Lobbying client,1400000,ai-cyberattacks; loss-of-control
28,Medical Device Manufacturers Association,Lobbying client,980000,ai-cyberattacks
29,Autodesk,Lobbying client,910000,ai-cyberattacks; job-loss
30,Linkedin,Lobbying client,900000,job-loss; kids-chatbots
