id,kind,jurisdiction,identifier,title,status,introduced,url,fears,controls,agencies
us-119-hr-10502,bill,Congress,H.R. 10502,"To direct the Director of National Intelligence to submit to Congress a report on the use of artificial intelligence systems to acquire, analyze, query, disseminate, or otherwise access information under section 702 of the Foreign Intelligence Surveillance Act of 1978.",pending,2026-09-17,https://www.congress.gov/bill/119th-congress/house-bill/10502,,mandatory-reporting,Director of National Intelligence
us-119-hr-10484,bill,Congress,H.R. 10484,Covered AI Prohibition Act,pending,2026-09-17,https://www.congress.gov/bill/119th-congress/house-bill/10484,,,
os-6a2a2275-e154-4907-a9c5-070ef4951148,bill,New York,A 11723,Relates to the use of artificial intelligence and attorney-client privilege and work product,pending,2026-09-16,https://openstates.org/ny/bills/2025-2026/A11723/,,,
us-119-hr-10465,bill,Congress,H.R. 10465,"To clarify the requirements for authorizing the use, occupancy, and development of public lands for hyperscale data centers, and for other purposes.",pending,2026-09-16,https://www.congress.gov/bill/119th-congress/house-bill/10465,,data-center-limits,
us-119-hr-10417,bill,Congress,H.R. 10417,"To require the Secretary of Veterans Affairs to disclose each instance in which the Secretary uses artificial intelligence to interact with a covered individual, and for other purposes.",pending,2026-09-16,https://www.congress.gov/bill/119th-congress/house-bill/10417,,mandatory-reporting,Secretary of Veterans Affairs
us-119-s-5417,bill,Congress,S. 5417,A bill to require entities to include human-controlled shutdown mechanisms in all artificial intelligence systems.,pending,2026-09-16,https://www.congress.gov/bill/119th-congress/senate-bill/5417,,,
us-119-hr-10370,bill,Congress,H.R. 10370,"To better coordinate Federal efforts to utilize advance technologies, such as artificial intelligence, to improve diagnoses, treatments, cures, and prevention strategies for pediatric cancer, and for other purposes.",pending,2026-09-14,https://www.congress.gov/bill/119th-congress/house-bill/10370,,,
us-119-hr-10362,bill,Congress,H.R. 10362,Stop Rogue AI Act,pending,2026-09-14,https://www.congress.gov/bill/119th-congress/house-bill/10362,,,
os-3dab5ee7-1ce8-4119-9e40-52938d6c08cd,bill,New Jersey,A 5496,Regulates use of artificial intelligence in certain mortgage lending tools to minimize discrimination in lending.,pending,2026-09-14,https://openstates.org/nj/bills/222/A5496/,bias,,
os-f51e9fb8-eb57-4cca-ab60-14418d976a7d,bill,New Jersey,A 5494,"Prohibits certain use of artificial intelligence in denying homeowner, automobile, and flood insurance claims.",pending,2026-09-14,https://openstates.org/nj/bills/222/A5494/,bias,,
os-27d49e34-c98a-4941-8018-5c5632de807b,bill,New Jersey,A 5482,"Establishes six month moratorium on approvals, construction, expansion, subsidies, and tax incentives for certain artificial intelligence data centers; creates Artificial Intelligence Data Center Impact Commission.",pending,2026-09-14,https://openstates.org/nj/bills/222/A5482/,,data-center-limits; new-agency-powers,
fr-2026-18612,rule,"Health and Human Services Department, Food and Drug Administration",Final rule,Medical Devices; Cardiovascular Devices; Classification of the Cardiovascular Machine Learning-Based Notification Software,passed,2026-09-11,https://www.federalregister.gov/documents/2026/09/11/2026-18612/medical-devices-cardiovascular-devices-classification-of-the-cardiovascular-machine-learning-based,,mandatory-reporting,Food and Drug Administration
os-bb677c8e-36be-4619-87df-617175c9cd82,bill,New York,S 10696,Relates to the crime of promoting an obscene sexual performance by a child,pending,2026-09-11,https://openstates.org/ny/bills/2025-2026/S10696/,deepfakes,,
os-05ad9272-0129-46cd-850a-e7176b9a3967,bill,New Jersey,A 5416,Establishes Artificial Intelligence Apprenticeship Program and artificial intelligence apprenticeship tax credit program.,pending,2026-09-10,https://openstates.org/nj/bills/222/A5416/,,,
os-6f16dc90-32f9-4c69-b998-111e0bea1e5b,bill,New York,S 10692,Relates to the disclosure of artificial intelligence use in floor statements and debate by members of the legislature,pending,2026-09-09,https://openstates.org/ny/bills/2025-2026/S10692/,,labeling-mandates,
os-66bb0b59-93b0-4aa8-bd16-aecb15aef97d,bill,Pennsylvania,HB 2760,An Act providing for the protection of water supplies by requiring commercial data centers to restore or replace a polluted or diminutive water supply; and imposing duties on the Department of Environmental Protection.,pending,2026-09-09,https://openstates.org/pa/bills/2025-2026/HB2760/,power-bills,data-center-limits,Pennsylvania Department of Environmental Protection
us-119-hr-10321,bill,Congress,H.R. 10321,Responsible Data Center Siting Act of 2026,pending,2026-09-08,https://www.congress.gov/bill/119th-congress/house-bill/10321,,,
us-119-hr-10322,bill,Congress,H.R. 10322,Data Center Fair Share Act,pending,2026-09-08,https://www.congress.gov/bill/119th-congress/house-bill/10322,,,
os-0b4aab03-1d49-45d6-9dc0-1e94f2026b54,bill,Ohio,HB 999,Prohibit property tax exemptions for data centers,pending,2026-09-02,https://openstates.org/oh/bills/136/HB999/,,,
os-f3417b32-c733-4c5d-b5d2-70825ac2f753,bill,Ohio,HB 1000,Regulate deceptive synthetic media with intent to affect election,pending,2026-09-02,https://openstates.org/oh/bills/136/HB1000/,deepfakes,,
os-fa3ff832-f8b2-4f79-a24f-c974c2c231d4,bill,New York,A 11669,"Enacts the ""Fostering Optimal Classroom Use of Screens (FOCUS) act"" to limit use of internet enabled devices and prioritize non-digital teaching methods",pending,2026-09-02,https://openstates.org/ny/bills/2025-2026/A11669/,,mandatory-reporting,
os-dacc22a6-451c-4583-8959-b6b8af49d8e4,bill,New York,A 11693,Relates to humanoid robots and artificial intelligence avatars in instructional settings,pending,2026-09-02,https://openstates.org/ny/bills/2025-2026/A11693/,,mandatory-reporting,New York boards of cooperative educational services; New York charter schools; New York school districts
os-6d137bdb-8f74-4192-a4cb-878d7212dffa,bill,New York,A 11684,Relates to the disclosure of artificial intelligence use in floor statements and debate by members of the legislature,pending,2026-09-02,https://openstates.org/ny/bills/2025-2026/A11684/,,labeling-mandates,
us-119-hr-10189,bill,Congress,H.R. 10189,Defense AI Reliability and Reporting Act,pending,2026-08-31,https://www.congress.gov/bill/119th-congress/house-bill/10189,,,
us-119-hr-10180,bill,Congress,H.R. 10180,Self-Improving AI Monitoring Act,pending,2026-08-27,https://www.congress.gov/bill/119th-congress/house-bill/10180,,,
us-119-hr-10152,bill,Congress,H.R. 10152,Open-Source AI Leadership Act,pending,2026-08-27,https://www.congress.gov/bill/119th-congress/house-bill/10152,,,
us-119-hr-10169,bill,Congress,H.R. 10169,"To prohibit the provision of Federal financial benefit for the construction, expansion, or substantial rehabilitation of data centers on prime farmland and other certain farmland.",pending,2026-08-27,https://www.congress.gov/bill/119th-congress/house-bill/10169,,data-center-limits,
os-da337339-50d4-4808-ba39-93e1706bab0e,bill,Michigan,HB 6264,Businesses: other; clean and renewable energy requirements for data centers; provide for. Creates new act.,pending,2026-08-26,https://openstates.org/mi/bills/2025-2026/HB6264/,,,
os-a2facad8-2648-40fe-9cec-ec8981056487,bill,Michigan,HB 6265,Businesses: other; water and electricity usage reporting requirements for data centers; provide for. Creates new act.,pending,2026-08-26,https://openstates.org/mi/bills/2025-2026/HB6265/,,,
os-78e82a9f-6dc8-4bcd-adc6-00ae4bce36fe,bill,Michigan,HB 6251,Businesses: other; energy infrastructure and thermal management evaluation requirements for certain data centers; provide for. Creates new act.,pending,2026-08-26,https://openstates.org/mi/bills/2025-2026/HB6251/,,,
us-119-hr-10146,bill,Congress,H.R. 10146,AI Advertising Disclosure Act,pending,2026-08-24,https://www.congress.gov/bill/119th-congress/house-bill/10146,,,
os-27cc800d-4294-402f-b257-02fb541a7643,bill,New York,S 10685,"Enacts the ""Fostering Optimal Classroom Use of Screens (FOCUS) act"" to limit use of internet enabled devices and prioritize non-digital teaching methods",pending,2026-08-21,https://openstates.org/ny/bills/2025-2026/S10685/,,mandatory-reporting,
us-119-hr-10119,bill,Congress,H.R. 10119,Protecting Local Control of Data Centers Act,pending,2026-08-20,https://www.congress.gov/bill/119th-congress/house-bill/10119,,,
os-6cf881b9-a7ae-4234-a6d6-ff47f879a80d,bill,Massachusetts,HD 6293,An Act establishing the Massachusetts Digital Commonwealth,pending,2026-08-13,https://openstates.org/ma/bills/194th/HD6293/,,,
us-119-s-5382,bill,Congress,S. 5382,China AI Power Report Act,pending,2026-08-07,https://www.congress.gov/bill/119th-congress/senate-bill/5382,,,
us-119-s-5345,bill,Congress,S. 5345,"A bill to provide for the delivery of artificial intelligence functional bills of materials, and for other purposes.",pending,2026-08-06,https://www.congress.gov/bill/119th-congress/senate-bill/5345,,,
us-119-hr-10044,bill,Congress,H.R. 10044,AI Tax and Work Protection Act,pending,2026-08-06,https://www.congress.gov/bill/119th-congress/house-bill/10044,,,
os-0775fdfb-362e-44a1-872a-2090f74a41ee,bill,New York,S 10675,Imposes liability for damages caused by a chatbot impersonating certain licensed professionals,pending,2026-08-05,https://openstates.org/ny/bills/2025-2026/S10675/,deepfakes,,
us-119-s-5225,bill,Congress,S. 5225,K–12 AI Literacy and Readiness Act of 2026,pending,2026-08-04,https://www.congress.gov/bill/119th-congress/senate-bill/5225,,,
us-119-hr-10042,bill,Congress,H.R. 10042,Understanding AI in the Classroom Act,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-bill/10042,,,
us-119-hr-10041,bill,Congress,H.R. 10041,Smart Data Center Policy Act,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-bill/10041,,,
us-119-hr-10025,bill,Congress,H.R. 10025,Preventing Abuse of Digital Replicas Act,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-bill/10025,,,
us-119-hres-1471,bill,Congress,H.Res. 1471,Expressing the sense of the House of Representatives that every American and community impacted by the construction or operation of an artificial intelligence data center should have the right to transparency and local autonomy.,pending,2026-08-03,https://www.congress.gov/bill/119th-congress/house-resolution/1471,,,
os-db6da84f-e7c3-42a1-9904-d02fc83ed332,bill,New York,A 11662,Relates to human-led instruction and artificial intelligence in schools,pending,2026-07-31,https://openstates.org/ny/bills/2025-2026/A11662/,,,
us-119-hr-10005,bill,Congress,H.R. 10005,Data Center Resource Disclosure Act,pending,2026-07-30,https://www.congress.gov/bill/119th-congress/house-bill/10005,,,
os-912ce725-64e5-4a05-a698-349b9e1558fe,bill,New York,A 11626,"Enacts the ""options for search listing act""",pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/A11626/,,,
os-e266c4e2-7b74-4412-ac2a-96690d285b8b,bill,New York,A 11636,Relates to third party verification of compliance with transparency and safety requirements for developers of artificial intelligence models,pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/A11636/,,mandatory-reporting,
os-86ce105d-ab3c-48e4-958d-283b735c2702,bill,New York,A 11635,Requires the disclosure of digitally altered images in an advertisement or other promotional material for the sale or lease of real property,pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/A11635/,deepfakes,labeling-mandates,
os-9511b40a-3259-4f76-b6a1-45af58132860,bill,New York,S 10671,Relates to humanoid robots and artificial intelligence avatars in instructional settings,pending,2026-07-29,https://openstates.org/ny/bills/2025-2026/S10671/,,mandatory-reporting,
us-119-s-5171,bill,Congress,S. 5171,Children's Artificial Intelligence Toy Safety Act of 2026,pending,2026-07-29,https://www.congress.gov/bill/119th-congress/senate-bill/5171,,,
